source_text,target_text,source_lang,target_lang
There has been an accident,एक दुर्घटना हुई है,en,hi
I lost my wallet,मेरा बटुआ खो गया,en,hi
I found your keys,मुझे आपकी चाबियाँ मिल गईं,en,hi
Can I use your phone,क्या मैं आपका फोन इस्तेमाल कर सकता हूँ,en,hi
My phone is dead,मेरे फोन की बैटरी खत्म हो गई है,en,hi
Please charge my phone,कृपया मेरा फोन चार्ज करें,en,hi
I like watching movies,मुझे फिल्में देखना पसंद है,en,hi
This movie is very good,यह फिल्म बहुत अच्छी है,en,hi
I enjoy listening to music,मुझे संगीत सुनना अच्छा लगता है,en,hi
He plays the guitar,वह गिटार बजाता है,en,hi
She dances very well,वह बहुत अच्छा नृत्य करती है,en,hi
Art is important for life,कला जीवन के लिए महत्वपूर्ण है,en,hi
Education is the key to success,शिक्षा सफलता की कुंजी है,en,hi
Work hard and be honest,मेहनत करो और ईमानदार रहो,en,hi
Respect your elders,अपने बड़ों का सम्मान करो,en,hi
Be kind to others,दूसरों के साथ दयालु रहो,en,hi
Share what you have,जो है वो बाँटो,en,hi
Honesty is the best policy,ईमानदारी सबसे अच्छी नीति है,en,hi
Knowledge is power,ज्ञान शक्ति है,en,hi
Time is precious,समय बहुत मूल्यवान है,en,hi
Never give up,कभी हार मत मानो,en,hi
Practice makes perfect,अभ्यास से सिद्धि मिलती है,en,hi
Where is the nearest bus stop,निकटतम बस स्टॉप कहाँ है,en,hi
I want to go to Mumbai,मुझे मुंबई जाना है,en,hi
Book a hotel room,होटल का कमरा बुक करें,en,hi
Check in at the hotel,होटल में चेक इन करें,en,hi
My luggage is heavy,मेरा सामान भारी है,en,hi
The airport is far from here,हवाई अड्डा यहाँ से दूर है,en,hi
The flight is at eight,उड़ान आठ बजे है,en,hi
I need a visa,मुझे वीज़ा चाहिए,en,hi
Where is the embassy,दूतावास कहाँ है,en,hi
I am a tourist,मैं एक पर्यटक हूँ,en,hi
This place is very beautiful,यह जगह बहुत सुंदर है,en,hi
I want to take a photo,मैं एक फोटो खींचना चाहता हूँ,en,hi
Please take my picture,कृपया मेरी तस्वीर लें,en,hi
The market opens at nine,बाजार नौ बजे खुलता है,en,hi
I want to buy some vegetables,मुझे कुछ सब्जियाँ खरीदनी हैं,en,hi
How many apples do you have,आपके पास कितने सेब हैं,en,hi
I will pay by card,मैं कार्ड से भुगतान करूँगा,en,hi
Do you accept cash,क्या आप नकद स्वीकार करते हैं,en,hi
The price is too high,कीमत बहुत ज़्यादा है,en,hi
Can you give a discount,क्या आप छूट दे सकते हैं,en,hi
I will come tomorrow,मैं कल आऊँगा,en,hi
See you later,बाद में मिलते हैं,en,hi
Goodbye,अलविदा,en,hi
Have a good day,आपका दिन शुभ हो,en,hi
Happy birthday,जन्मदिन मुबारक हो,en,hi
Congratulations,बधाई हो,en,hi
Best of luck,शुभकामनाएँ,en,hi
I am sorry,मुझे माफ करें,en,hi
Please forgive me,कृपया मुझे माफ़ कर दें,en,hi
It is okay,कोई बात नहीं,en,hi
No problem,कोई समस्या नहीं,en,hi
I agree with you,मैं आपसे सहमत हूँ,en,hi
I disagree,मैं असहमत हूँ,en,hi
That is correct,यह सही है,en,hi
That is wrong,यह गलत है,en,hi
I am not sure,मुझे यकीन नहीं है,en,hi
Let me think,मुझे सोचने दो,en,hi
What do you mean,आपका क्या मतलब है,en,hi
Can you explain,क्या आप समझा सकते हैं,en,hi
Please speak slowly,कृपया धीरे बोलें,en,hi
I did not hear you,मैंने आपको नहीं सुना,en,hi
Can you write it down,क्या आप इसे लिख सकते हैं,en,hi
What language do you speak,आप कौन सी भाषा बोलते हैं,en,hi
I speak Hindi and English,मैं हिंदी और अंग्रेजी बोलता हूँ,en,hi
Hindi is a beautiful language,हिंदी एक सुंदर भाषा है,en,hi
I want to learn more,मैं और अधिक सीखना चाहता हूँ,en,hi
Practice every day,हर दिन अभ्यास करो,en,hi
You are doing well,आप अच्छा कर रहे हैं,en,hi
Keep it up,इसी तरह करते रहो,en,hi
I am proud of you,मुझे आप पर गर्व है,en,hi
You are very talented,आप बहुत प्रतिभाशाली हैं,en,hi
This is just the beginning,यह तो बस शुरुआत है,en,hi
The future is bright,भविष्य उज्जवल है,en,hi
Together we are strong,मिलकर हम मजबूत हैं,en,hi
United we stand divided we fall,एकता में बल है,en,hi
Do your best,अपना सर्वश्रेष्ठ करो,en,hi
Believe in yourself,खुद पर विश्वास रखो,en,hi
Dreams come true,सपने सच होते हैं,en,hi
Work for your dreams,अपने सपनों के लिए काम करो,en,hi
Success comes with hard work,सफलता मेहनत से मिलती है,en,hi
Failure is the pillar of success,असफलता सफलता की नींव है,en,hi
Stay positive always,हमेशा सकारात्मक रहो,en,hi
Smile and be happy,मुस्कुराओ और खुश रहो,en,hi
Life is beautiful,जीवन सुंदर है,en,hi
Enjoy every moment,हर पल का आनंद लो,en,hi
